case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3123546,48-194685,2021-WTW-4815-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.475121,36.354134
3125452,,2021-WTW-4611-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.597481,36.443123
3125408,,2021-WTW-4597-OE,,,TX,Sherman County,48421,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.639786,36.447273
3124868,,2021-WTW-4653-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.567085,36.429169
3124750,,2021-WTW-4587-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.455276,36.458916
3124033,48-192786,2021-WTW-4867-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.494034,36.311722
3123866,48-193983,2021-WTW-4810-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.433319,36.369457
3124787,,2021-WTW-4659-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.576469,36.414547
3119866,48-192375,2021-WTW-4756-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.524132,36.282413
3124072,48-194784,2021-WTW-4820-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.441322,36.355362
3123679,48-193001,2021-WTW-4708-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.538467,36.347027
3124965,,2021-WTW-4672-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.594666,36.396107
3123852,48-194326,2021-WTW-4834-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.469208,36.341396
3125095,,2021-WTW-4661-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.56414,36.414471
3125231,,2021-WTW-4583-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.479424,36.466019
3125517,,2021-WTW-4679-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.557289,36.395683
3124824,,2021-WTW-4680-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.551575,36.395683
3123654,48-194785,2021-WTW-4821-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.434349,36.35191
3125242,,2021-WTW-4655-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.556549,36.429081
3124814,,2021-WTW-4579-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.502625,36.469612
3124721,,2021-WTW-4790-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.420113,36.427853
3124104,48-194570,2021-WTW-4690-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.585243,36.367638
3119255,48-192685,2021-WTW-4736-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.511131,36.297916
3125038,,2021-WTW-4791-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.414223,36.42836
3124998,,2021-WTW-4595-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.570198,36.462406
3123302,48-194834,2021-WTW-4824-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.412628,36.356045
3123841,48-194136,2021-WTW-4836-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.457802,36.337982
3123815,48-192876,2021-WTW-4709-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.544441,36.342243
3123277,48-193999,2021-WTW-4826-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.398956,36.355968
3123794,48-192778,2021-WTW-4717-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.558609,36.321995
3123849,48-194322,2021-WTW-4695-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.555069,36.370125
3124881,,2021-WTW-4574-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.526726,36.475761
3123220,48-194330,2021-WTW-4850-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.472183,36.331615
3125120,,2021-WTW-4796-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.411636,36.417469
3124737,,2021-WTW-4612-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.591484,36.443935
3123757,48-192784,2021-WTW-4727-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,2,2/17/2022,Digital Globe,-101.590744,36.300419
3125229,,2021-WTW-4581-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.49144,36.465843
3124997,,2021-WTW-4580-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.496895,36.46928
3119487,48-192728,2021-WTW-4726-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.499786,36.311893
3123721,48-193907,2021-WTW-9153-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.440437,36.383984
3123681,48-194882,2021-WTW-4673-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.62101,36.385784
3123863,48-193992,2021-WTW-4877-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.396927,36.314144
3123500,48-194323,2021-WTW-4696-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.548958,36.37661
3124025,48-192779,2021-WTW-4718-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.505936,36.326778
3119122,48-192356,2021-WTW-4734-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.523132,36.297081
3119845,48-192306,2021-WTW-4771-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.547005,36.264515
3125461,,2021-WTW-4575-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.521027,36.475845
3123334,48-192884,2021-WTW-4741-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.479927,36.297066
3119468,48-192322,2021-WTW-4731-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.540543,36.297371
3125235,,2021-WTW-4568-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.461464,36.481579
3125238,,2021-WTW-4617-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.578186,36.429283
3123850,48-194690,2021-WTW-4879-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.38504,36.31448
3123857,48-193229,2021-WTW-4812-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.491982,36.359676
3119815,48-192360,2021-WTW-4733-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.5289,36.297226
3125097,,2021-WTW-8262-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.479454,36.486259
